text,label
"[Χάκερ, εγκατέστησαν, αποστάσεως, λογισμικό, κατασκοπίας, κινητά, τηλέφωνα, συσκευές, εκμεταλλευόμενοι, ευάλωτο, σημείο, εφαρμογή, ανταλλαγής, μηνυμάτων, ανήκει, κυβερνοεπίθεση, αντιληπτή, ημερών, αφορούσε, επιλεγμένο, αριθμό, χρηστών, βάση, δισεκατομμυρίων, χρηστών, ενορχηστρώθηκε, μεγάλων, ικανοτήτων, σύμφωνα, κυκλοφόρησε, Δευτέρα, αναβάθμιση, ασφαλείας, καλεί, χρήστες, εγκαταστήσουν, συσκευή, λογισμικό, κατασκοπίας, αναπτύξει, ισραηλινή, εταιρεία, κυβερνοασφάλειας, αρνήθηκε, παραμικρή, εμπλοκή, υπόθεση, χάκερ, χρησιμοποίησαν, λειτουργία, φωνητικής, κλήσης, καλέσουν, συσκευή, κι, απαντούσε, λογισμικό, κατασκοπίας, μπορούσε, τρυπώσει, εγκατασταθεί, συσκευή, κλήση, συχνά, εξαφανιζόταν, μητρώο, κλήσεων, γίνει, σύμφωνα, Φαϊνάνσιαλ, Τάιμς, BBC]",1
"[δυνατότητες, θαλάσσιου, τουρισμού, αναπτυχθεί, έτι, περαιτέρω, Ελλάδα, αναφέρθηκε, υπουργός, Τουρισμού, Θανάσης, Θεοχαρόπουλος, βήμα, ημερίδας, Σύνδεσμος, Ιδιοκτητών, Τουριστικών, Επαγγελματικών, Σκαφών, Πληρώματος, μέλλον, κλάδου, πλαίσιο, στρατηγικής, Ευρωπαϊκής, Ένωσης, Γαλάζια, Ανάπτυξη, τομέας, θαλάσσιου, παράκτιου, τουρισμού, παρουσιάζει, ιδιαίτερες, δυνατότητες, προώθηση, βιώσιμης, ανάπτυξης, Ευρώπη, σπουδαιότερος, θαλάσσιος, τομέας, επίπεδο, προστιθέμενης, αξίας, επίπεδο, δημιουργίας, θέσεων, εργασίας, υπογράμμισε, υπουργός, συμπλήρωσε, αύξηση, θέσεων, εργασίας, βασικό, κομβικό, σημείο, υπουργείο, ισχυροποίηση, θαλάσσιου, τουρισμού, δημιουργεί, προοπτικές, ανάπτυξης, πολλαπλά, οφέλη, εγχώρια, οικονομία, αναβάθμιση, υποδομών, βελτίωση, υπηρεσιών, δημιουργία, θέσεων, εργασίας, αποτελεί, προτεραιότητα, συμπλήρωσε, τόνισε, θαλάσσιος, τουρισμός, αποτελεί, στρατηγική, επιλογή, αναπτυξιακός, σχεδιασμός, επόμενα, χρόνια, στοχεύει, βελτίωση, ενίσχυση, υποδομών, μαρίνες, κρουαζιέρα, σημείο, ανέφερε, εκδοθεί, Ελλάδα, Προεδρικά, Διατάγματα, έγκριση, χωροθέτησης, μαρίνων, μεσαίου, μεγάλου, μεγέθους, Χίου, Αλίμου, Πύλου, περιοχές, ειδικό, χωροταξικό, καθεστώς, προστασίας, Εστιάζοντας, μέλλον, ελληνικού, τουρισμού, κ., Θεοχαρόπουλος, τόνισε, υπάρχει, σχέδιο, όραμα, ιδέες, ανάπτυξη, τουριστικού, προϊόντος, επόμενα, χρόνια, σχέδιο, είπε, δίνει, έμφαση, δω, ποιότητα, ποσοτικοί, δείκτες, ελληνικού, τουρισμού, αφίξεις, έσοδα, μερίδια, βρίσκονται, υψηλά, επίπεδα, επιτευχθεί, ανάπτυξη, τουριστικού, προϊόντος, επόμενα, χρόνια, απαιτείται, έμφαση, ποιότητα, παρεχομένων, υπηρεσιών, υποδομών, επέκταση, χρονικά, χωρικά, τουριστικού, προϊόντος, υπογράμμισε, υπουργός, Παραμένοντας, μέτωπο, κρουαζιέρας, κ., Θεοχαρόπουλος, ανέφερε, φορά, Ελλάδα, υπάρχει, ενιαία, εθνική, στρατηγική, ανάπτυξη, κρουαζιέρας, θαλάσσιου, τουρισμού, επίτευγμα, συνεργασίας, συντονισμού, αρμόδιων, φορέων, λειτουργεί, Εθνικής, Συντονιστικής, Επιτροπής, κρουαζιέρα, αναπτυξιακός, σχεδιασμός, επόμενα, χρόνια, στόχο, θέση, λιμάνια, υποδομές, ανταποκρίνονται, σύγχρονες, παγκόσμιες, τάσεις, καταστούμε, ανταγωνιστικοί, αυξήσουμε, ελκυστικότητά, θαλάσσιο, τουρισμό, επισήμανε, κ., Θεοχαρόπουλος]",1
"[Άνδρες, συριακών, δυνάμεων, ασφαλείας, σκότωσαν, διαδηλωτές, χθες, ανοίγοντας, πυρ, συμμετεχόντων, μεγαλύτερες, κινητοποιήσεις, προέδρου, Μπασάρ, Ασαντ, πρωτεύουσα, είπαν, ακτιβιστές, αντιπολίτευσης, νεαροί, σκοτώθηκαν, απόγευμα, προσευχές, Παρασκευής, διαδηλωτές, συγκεντρώθηκαν, τεμένη, συνοικία, Μέζε, πλατεία, είπαν, ακτιβιστές, ταραχές, Συρία, άρχισαν, διαδηλώσεις, πολιτών, χώρα, Μάρτιο, περιλαμβάνουν, συνεχή, παράλληλη, ένοπλη, δράση, αιχμή, δόρατος, λεγόμενο, Ελεύθερο, Συριακό, Στρατό, οργάνωση, συνέστησαν, αποστάτες, ένοπλων, δυνάμεων, μέλη, επιδίδονται, τακτικές, ανταρτοπολέμου, Πλήττουν, κυβερνητικές, δυνάμεις, διαφεύγουν, Ασαντ, κυβέρνησή, λένε, κίνημα, αμφισβήτησης, τρομοκράτες, υποστηριζόμενους, εξωτερικό, κι, υπόσχονται, μεταρρυθμίσεις, απορρίπτοντας, ενδεχόμενο, εγκαταλείψουν, εξουσία, Επιμέλεια, Μίτση, Σκέντζου]",0
"[υποστήριξή, πρώην, υπουργό, Εξωτερικών, Τζόνσον, αγώνα, ηγεσία, Συντηρητικού, κόμματος, ανακοίνωσε, υπουργός, Υγείας, Ματ, Παρασκευή, απέσυρε, δική, υποψηφιότητα, ψηφοφορία, έφερε, προτελευταίο, προτιμήσεις, βουλευτών, ψήφους, άρθρο, εφημερίδα, Χάνκοκ, εξηγεί, λόγους, απόφασής, στηρίξει, φαβορί, κούρσας, διαδοχής, γεγονός, προεκλογική, καμπάνια, πρέσβευε, κόμμα, χρειάζεται, ανανέωση, νέα, πρόσωπα, πιέσει, κατεύθυνση, αποχώρησης, Βρετανίας, ΕΕ, συμφωνία, επεσήμανε, άρθρο, Τζόνσον, θεωρείται, πιθανός, νικητής, αγώνα, έφτασε, ώρα, ενωθούν, συντομότερο, δυνατό, Χάνκοκ, είπε, πρώην, υπουργός, Εξωτερικών, διαβεβαιώσει, κυβερνήσει, συναινετικός, Συντηρητικός, έθνος, στηρίξει, ανάγκες, επιχειρήσεων, απαιτήσει, τηρήσει, δεσμεύσεις, θέματα, Χάνκοκ, αναφέρει, συνομίλησε, υποψήφιους, αναλογίστηκε, χρειάζεται, εθνικό, συμφέρον, Εξετάζοντας, επιλογές, υποστηρίζω, Τζόνσον, καλύτερο, υποψήφιο, ενώσει, Συντηρητικό, κόμμα, ολοκληρώσουμε, Brexit, συνέχεια, ενώσουμε, χώρα, ανοιχτή, φιλόδοξη, προοδευτική, ατζέντα, επιτευχθεί, ενέργεια, απαιτείται, υλοποίησή, γράφει, στροφή, συνεργάτες, υποστήριζαν, Παρασκευή, αποκλείεται, υπάρξει, συμμαχία, μετριοπαθών, δυνάμεων, Τόρις, σκληρούς, υποστηρικτές, Brexit, στηρίξει, Τζόνσον, σημαντική, ώθηση, υποψήφιο, σημαίνει, υποστηρικτές, ακολουθήσουν, επιλογή, Σκοτσέζος, συντηρητικός, βουλευτής, δήλωσε, σκοπεύει, αυριανή, ψηφοφορία, στηρίξει, υπουργό, Διεθνούς, Ανάπτυξης, Στιούαρτ]",1
"[σταθερή, προσήλωση, ΗΠΑ, Ελλάδας, εμβάθυνση, διμερών, σχέσεων, υπογράμμισε, Αμερικανός, πρέσβης, Ελλάδα, Πάιατ, μιλώντας, χθεσινοβραδινή, δεξίωση, Θεσσαλονίκη, επέτειο, Ιουλίου, περασμένο, μήνα, χαρά, διαπιστώσω, απόθεμα, σχέσεις, ΗΠΑ-Ελλάδας, υψηλότερο, Υπάρχει, ευρεία, συναίνεση, Ελλάδα, καταστεί, αξιόλογους, σημαντικούς, περιφερειακούς, συμμάχους, είπε, Αμερικανός, πρέσβης, επισημαίνοντας, δυναμική, προσέδωσε, ενίσχυση, διμερών, σχέσεων, Διεθνής, Έκθεση, Θεσσαλονίκης, Ηνωμένες, Πολιτείες, τιμώμενη, χώρα, περασμένο, Σεπτέμβριο, ετήσιος, στρατηγικός, διάλογος, σειρά, ενέργειες, περιστάσεις, πολιτικοί, διπλωμάτες, έρχονται, φεύγουν, χτίσει, μείνει, ισχυρή, παράδοση, συνεργασίας, φιλίας, κοινών, ιδανικών, φτάνουν, ίδρυση, σύγχρονων, κρατών, υπογράμισε, Αμερικανός, πρέσβης, κ., Πάιατ, αναφέρθηκε, σειρά, ενεργειακά, έργα, περιοχή, TAP, πρόσφατα, εγκαίνια, έναρξης, κατασκευαστικών, έργων, διασυνδετήριο, αγωγό, φυσικού, αερίου, IGB, υπογραμμίζοντας, Βόρεια, Ελλάδα, καθίσταται, κρίσιμο, σταυροδρόμι, ενεργειακή, ασφάλεια, διαφοροποίηση, χώρος, μακροπρόθεσμες, επενδύσεις, επικεφαλής, αμερικανικής, διπλωματίας, Ελλάδα, αναφέρθηκε, Θεσσαλονίκη, αμερικανική, παρουσία, πόλη, αμερικανικού, κολλεγίου, Ανατόλια, Αμερικανικής, Γεωργικής, Σχολής, κ.ά., ομορφιές, Χαλκιδικής, ευκαιρία, επισκεφθεί, περασμένο, Σαββατοκύριακο, μπορούμε, χτίσουμε, μέλλον, κατανοούμε, παρελθόν, δεσμούς, ενώνουν, ΗΠΑ, Ελλάδα, ανακάλυψε, θέση, γενικού, προξένου, Ηνωμένων, Πολιτειών, Θεσσαλονίκη, εστίασε, χαιρετισμό, Αμερικανός, πρόξενος, Γκρέγκορι, επιτυχημένη, θητεία, αναφέρθηκε, πρέσβης, Πάιατ, ιστορία, παραμονής, Θεσσαλονίκη, Γενικός, Πρόξενος, μάθει, δεσμούς, ενώνουν, ΗΠΑ, Ελλάδα, προσπαθήσει, συνδέσω, συνεκτική, αφήγηση, ακούσει, φορές, μπορούμε, χτίσουμε, μέλλον, κατανοούμε, παρελθόν, είπε, πρόσθεσε, Υφαίνοντας, ιστορίες, κοινού, παρελθόντος, βοηθά, χτίσουμε, κοινό, μέλλον, εξελίσσεται, θετικά, δεδομένη, χρονική, στιγμή, βοηθά, δημιουργήσουμε, αφήγημα, μελλοντικές, γενιές, ανατρέχουν, δέος, σεβασμό, τόνισε, Αμερικανός, πρόξενος, ιστορία, βαθιά, δεσμοί, ευρείς, μπορείς, γνωρίζεις, γνωρίζω, σημασία, συνεχίσω, χτίζω, σχέσεις, ανυπομονώ, συνεργαστώ, συνεχίσουμε, γράφουμε, καινούργιες, ιστορίες, σημείωσε, -μεταξύ, κ., Απ., Τζιτζικώστας, αναβαθμιστεί, σχέση, Ελλάδας, ΗΠΑ, βεβαιότητα, στρατηγική, συνεργασία, σχέση, Ελλάδας, Ηνωμένων, Πολιτειών, αναβαθμιστεί, επόμενα, χρόνια, εξέφρασε, ανοίγοντας, χαιρετισμό, εκδήλωση, περιφερειάρχης, Κεντρικής, Μακεδονίας, Απόστολος, Τζιτζικώστας, κ., Τζιτζικώστας, αναφέρθηκε, συμμετοχή, Ηνωμένων, Πολιτειών, τιμώμενη, χώρα, Διεθνή, Έκθεση, Θεσσαλονίκης, περασμένο, Σεπτέμβριο, επισημαίνοντας, χαρακτηριστικά, καλύτερη, ΔΕΘ, διοργανωθεί, τόπο, δρόμο, συνέργειες, συνεργασίες, άνοιξε, ελληνικές, αμερικανικές, επιχειρήσεις, φορείς, γίνει, υπήρχε, συγκεκριμένος, επικεφαλής, αμερικανικής, διπλωματίας, Ελλάδα, Πάιατ, είπε, κ., Τζιτζικώστας, ευχαρίστησε, συνέχεια, Αμερικανός, πρέσβης, συμβολή, ανάπτυξη, διμερών, σχέσεων, ΗΠΑ, Ελλάδας, φετινή, συμμετοχή, ΗΠΑ, ΔΕΘ, Χαιρετισμό, απηύθυνε, Πάνος, Βλάχος, πρόεδρος, αμερικανικού, κολλεγίου, Ανατόλια, χώρους, φιλοξενήθηκε, χθεσινοβραδινή, δεξίωση, παρέστησαν, -μεταξύ, απερχόμενος, δήμαρχος, Γιάννης, Μπουτάρης, νεοεκλεγείς, δήμαρχος, Κωνσταντίνος, Ζέρβας, αντιπεριφερειάρχης, Θεσσαλονίκης, Βούλα, Πατουλίδου, εκπρόσωποι, θρησκευτικών, στρατιωτικών, αρχών, υποψήφιοι, βουλευτές, κ.ά.]",1
"[Κώστα, Μπετινάκη, πρόφαση, τρόπο, προστατεύονται, Αμερικανοί, στρατιωτικοί, σταλεί, Συρία, εκπαίδευση, αντικαθεστωτικών, ανταρτών, Παρασκευή, Ιουλίου, πραγματοποιήθηκε, αεροπορική, επιδρομή, αμερικανικών, μαχητικών, συριακών, κυβερνητικών, δυνάμεων, τρόπο, επιβεβαιώνεται, πρόεδρος, ΗΠΑ, Μπαράκ, Ομπάμα, δώσει, εντολή, αεροπορική, προστασία, εκπαιδευτών, στείλει, αντικαθεστωτικούς, αντάρτες, δείξει, τρόπου, αντιμετώπισης, τζιχαντιστών, Ισλαμικού, Χαλιφάτου, επισήμως, ΗΠΑ, συμμετέχουν, συριακό, εμφύλιο, τάσσονται, πλευρό, αντικαθεστωτικών, ανταρτών, στροφή, αμερικανική, πολιτική, επισημάνθηκε, Αμερικανό, αξιωματούχο, θέλησε, τηρηθεί, ανωνυμία, δηλώσεις, Κυριακή, μαχητικά, αεροσκάφη, χωρών, συμμετέχουν, συμμαχία, προθύμων, έπλητταν, αποκλειστικά, θέσεις, ανήκαν, ξεκάθαρα, τζιχαντιστές, Ισλαμικού, Χαλιφάτου, βόρεια, Συρία, παραβιάζοντας, συριακό, εναέριο, χώρο, επίσημες, συριακές, αρχές, έκαναν, στραβά, μάτια, απόφαση, Αμερικανού, προέδρου, πρόσθεσε, κατάλογο, δέχονται, επίθεση, συμμαχικές, αεροπορικές, επιδρομές, επιτίθενται, βάσεις, εκπαιδεύονται, Αμερικανούς, εξοπλίζονται, αμερικανική, χρηματοδότηση, αντικαθεστωτικοί, αντάρτες, Πεντάγωνο, Λευκός, Οίκος, σχολιάσει, επίσημα, εντολή, εμπλοκή, συριακό, εμφύλιο, μετέδωσε, ΗΠΑ, απέφευγαν, άμεση, σύγκρουση, συριακές, κυβερνητικές, δυνάμεις, αποκαλύψουμε, λεπτομέρειες, εμπλοκή, λάβουμε, απαραίτητα, μέτρα, διαβεβαιώσουμε, δυνάμεις, φέρουν, πέρας, επιτυχώς, αποστολή, δήλωσε, αόριστα, έμμεσα, επιδρομή, εκπρόσωπος, Εθνικού, Συμβουλίου, Λευκού, Οίκου, προσθέσει, Αμερικανούς, εκπαιδευτές, παρέχεται, ευρύτατη, υποστήριξη, αμυντικά, πυρά, προστασίας, Κρεμλίνο, ανακοινώθηκε, αμερικανικές, επιδρομές, συριακών, δυνάμεων, αποσταθεροποιούν, περαιτέρω, κατάσταση, μετέδωσε, δίκτυο, εκπρόσωπος, Κρεμλίνου, υπενθύμισε, Μόσχα, επανειλημμένα, υπογραμμίσει, ενίσχυση, οικονομική, τεχνική, ή, είδους, βοήθεια, συριακής, αντιπολίτευσης, οδηγεί, παραπέρα, αποσταθεροποίηση, κατάστασης, χώρα, πρόσθεσε, κατάσταση, εκμεταλλευθούν, τρομοκράτες, Ισλαμικού, Χαλιφάτου, αμερικανικό, πρόγραμμα, εκπαίδευσης, ανταρτών, ξεκίνησε, Μάιο, περιλαμβάνει, εκπαίδευση, μαχητών, ετησίως, μεταδίδει, Σύμφωνα, WSJ, αμερικανικό, Πεντάγωνο, σχεδιάσει, εκπαιδεύσει, μαχητές, τέλη, Σύμφωνα, δημοσίευμα, εκπαιδευθεί, μαχητές, κατάσταση, Συρία, εξαιρετικά, περίπλοκη, κυβερνητικές, δυνάμεις, μάχονται, αντικαθεστωτικών, ανταρτών, μεμονωμένων, εξτρεμιστικών, οργανώσεων, συριακό, παράρτημα, αποκαλείται, Νούσρα, τζιχαντιστών, Χαλιφάτου, εξτρεμιστικές, ομάδες, κυβερνητικές, δυνάμεις, μάχονται, παράδοξο, θεωρηθεί, περιοχή, αμερικανική, επιδρομή, κυβερνητικών, δυνάμεων, χώρας, νόμιμα, κυβερνάται, πρόεδρο, Άσαντ, θεωρηθεί, επιθετική, ενέργεια, κυρίαρχης, χώρας, συμβούλιο, Ασφαλείας, ΟΗΕ, εξουσιοδοτήσει]",0
"[Κωνσταντίνα, Σπυροπούλου, ξέκλεψε, χρόνο, επαγγελματικές, υποχρεώσεις, απόλαυσε, βουτιές, πισίνα, παρουσιάστρια, Σπίτι, Σπιτάκι, φόρεσε, μαύρο, ολόσωμο, μαγιό, δροσίστηκε, νερά, πισίνας, μοιράστηκε, διαδικτυακούς, φίλους, στιγμιότυπο, Παρασκευή, μέρα, έγραψε, δημοσιεύοντας, φωτογραφία]",0
"[άνθρωποι, σκοτώθηκαν, τραυματίστηκαν, επίθεση, αυτοκτονίας, πρωτεύουσα, χώρο, συγκέντρωσης, υποστηρικτών, ηγέτη, περιοχής, Άτα, Μουχάμαντ, Νουρ, σύμφωνα, Υπουργείο, Εσωτερικών, Νουρ, κυβερνήτης, βόρειας, επαρχίας, ηγέτης, κόμματος, Εκπρόσωπος, Υπουργείου, Εσωτερικών, ανακοίνωσε, καμικάζι, πλησίασε, περπατώντας, αίθουσα, γαμήλιων, δεξιώσεων, ξενοδοχείου, φιλοξενούσε, πολιτική, συγκέντρωση, συνοικία, Καΐρ, Κανά, Καμπούλ, Σύμφωνα, Υπουργείο, Υγείας, χώρας, άτομα, τραυματίστηκαν, μεταφέρθηκαν, νοσοκομείο, Καμπούλ, ευθύνη, επίθεση, ανέλαβε, Ισλαμικό, Κράτος]",0
"[ετών, γράφει, ιστορία, κόρη, Beyoncé, ντεμπούτο, φτάνοντας, αριθμό, soundtrack, album, μητέρας, κυκλοφόρησε, τραγούδησε, μητέρα, τραγούδι, ταινία, μικρότερης, ηλικίας, καλλιτέχνης, εισέρχεται, ερμηνεύουν, Beyonce, ξεχωρίζει, Γεννημένη, τέχνη, μουσικής, εξοικειώνεται, επιτυχία, συμμετοχή, τραγούδι, κυκλοφόρησε, ευκαιρία, ραπάρει, πατέρα, άλμπουμ]",1
"[Δικογραφία, αυτόφωρης, διαδικασίας, σχηματίστηκε, Διεύθυνση, Εσωτερικών, Υποθέσεων, Ελληνικής, Αστυνομίας, βάρος, 42χρονου, Αστυφύλακα, υπηρετούσε, Υπηρεσία, Αττικής, διακίνηση, ναρκωτικών, ουσιών, διακεκριμένες, περιπτώσεις, νομοθεσίας, ναρκωτικά, βαθμό, κακουργήματος, δικογραφία, περιλαμβάνονται, άτομα, αλλοδαποί, συγκεκριμένα, 31χρονος, υπήκοος, Μαρόκο, 20χρονος, υπήκοος, Νιγηρίας, κρατούνται, αδικήματα, Υπηρεσία, υπηρετούσε, συλληφθείς, Αστυφύλακας, Ειδικότερα, χθες, μεσημέρι, διενέργεια, τροχονομικού, ελέγχου, αστυνομικούς, Ομάδας, 42χρονος, Αστυφύλακας, κατελήφθη, κατοχή, αυτοσχέδια, νάιλον, συσκευασία, περιείχε, ηρωίνη, μεικτού, βάρους, γραμμαρίων, δισκία, ναρκωτικών, χαπιών, τοπικό, Τμήμα, Ασφαλείας, ενημερώθηκε, Διεύθυνση, Εσωτερικών, Υποθέσεων, ανέλαβε, περαιτέρω, διερεύνηση, συσχετίζοντας, υπόθεση, Προκαταρκτική, Εξέταση, εξέλιξη, διακίνηση, ναρκωτικών, ουσιών, κρατητήρια, συγκεκριμένης, Υπηρεσίας, μεθοδική, εμπεριστατωμένη, έρευνα, προέκυψε, Αστυφύλακας, εκμεταλλευόμενος, ιδιότητα, καθήκοντα, φρουρά, κρατητηρίων, προμήθευε, κρατούμενους, ναρκωτικές, ουσίες, Μάιο, τρέχοντος, έτους, λαμβάνοντας, χρηματικά, ανταλλάγματα, ύψους, ευρώ, περίπτωση, συλληφθείς, εισήγαγε, ναρκωτικά, χώρους, κρατητηρίων, χρησιμοποιώντας, διάφορους, τρόπους, απόκρυψη, συσκευασίες, καπνικά, προϊόντα, ή, κλινοσκεπάσματα, πρόσχημα, βοήθειας, μεταφορά, κ.α., περαιτέρω, διακίνηση, αναλάβει, συγκατηγορούμενοι, αλλοδαποί, προωθούσαν, ναρκωτικά, κρατητηρίων, συγκρατούμενούς, Απόφαση, Αρχηγείου, Ελληνικής, Αστυνομίας, Αστυφύλακας, τέθηκε, διαθεσιμότητα, παράλληλα, διατάχθηκε, βάρος, διενέργεια, Ένορκης, Διοικητικής, Εξέτασης]",0
